"filename", "language", "JavaScript", "CSS", "PHP", "HTML", "JSON", "Markdown", "YAML", "XML", "Makefile", "comment", "blank", "total"
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto6.php", "PHP", 0, 0, 95, 0, 0, 0, 0, 0, 0, 10, 9, 114
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto7.htm", "HTML", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 7, 185
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto7.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\README.md", "Markdown", 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 64, 232
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\SECURITY.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 19, 38
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\composer.json", "JSON", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 1, 81
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\get_oauth_token.php", "PHP", 0, 0, 117, 0, 0, 0, 0, 0, 0, 48, 18, 183
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-af.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-ar.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-as.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 3, 36
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-az.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-ba.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-be.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-bg.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-bn.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 3, 36
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-ca.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-cs.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-da.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 3, 37
